,0
2483,Hochschule Kempte
2484,Hochschule Koblen
2485,Hochschule Konstan
2486,Hochschule Landshu
2487,Hochschule Macromedi
2488,Hochschule Magdeburg-Stenda
2489,Hochschule Main
2490,Hochschule Mannhei
2491,Hochschule Mersebur
2492,Hochschule Mittweid
2493,Hochschule Neubrandenbur
2494,Hochschule Neu-Ul
2495,Hochschule Niederrhei
2496,Hochschule Nordhause
2497,Hochschule Offenbur
2498,Hochschule Osnabrüc
2499,Hochschule Pforzhei
2500,Hochschule Ravensburg-Weingarte
2501,Hochschule Reutlinge
2502,Hochschule RheinMai
2503,Hochschule Schmalkalde
2504,Hochschule Stralsun
2505,Hochschule Trie
2506,Hochschule Ul
2507,Hochschule Weihenstephan-Triesdor
2508,Hochschule Weserberglan
2509,Hochschule Wisma
2510,Hochschule Worm
2511,Hochschule Zittau/Görlit
2512,Hochuschule Furtwange
2513,Hodeidah Universit
2514,Hodges Universit
2515,Hogere Zeevaartschool Antwerpe
2516,Hogeschool de Kempe
2517,Hogeschool Gen
2518,Hogeschool INHollan
2519,Hogeschool iPAB
2520,Hogeschool Leide
2521,Hogeschool PX
2522,Hogeschool Saxio
2523,Hogeschool van Amsterda
2524,Hogeschool van Arnhem en Nijmege
2525,Hogeschool Via
2526,Hogeschool voor de Kunsten Utrech
2527,Hogeschool West-Vlaandere
2528,Hogeschool Windeshei
2529,Hogeschool Zeelan
2530,Högskolan Dalarn
2531,Högskolan i Borå
2532,Högskolan i Gävl
2533,Högskolan i Halmsta
2534,Högskolan i Skövd
2535,Högskolan Kristiansta
2536,Högskolan Väs
2537,Høgskolen i Mold
2538,Høgskulen i Vold
2539,Høgskulen på Vestlande
2540,Hohai Universit
2541,Hokkai School of Commerc
2542,Hokkaido Bunkyo Universit
2543,Hokkaido Universit
2544,Hokkaido University of Educatio
2545,Hokkaido University of Scienc
2546,Hokkai-Gakuen Universit
2547,Hokuriku Universit
2548,Hokusho Universit
2549,Hollins Universit
2550,Holy Angel Universit
2551,Holy Apostles College and Seminar
2552,Holy Cross Colleg
2553,Holy Cross of Davao Colleg
2554,Holy Family Colleg
2555,Holy Family Universit
2556,Holy Name Universit
2557,Homi Bhabha National Institut
2558,Hong Bang International Universit
2559,Hong Duc Universit
2560,Hong Kong Baptist Universit
2561,Hong Kong Shue Yan Universit
2562,Honghe Universit
2563,Hood Colleg
2564,Hormozgan University of Medical Science
2565,Hosei Universit
2566,Hoshi Universit
2567,Hotelschool The Hagu
2568,Houston Baptist Universit
2569,Howard Payne Universit
2570,Howard Universit
2571,Howon Universit
2572,Høyskolen Kristiani
2573,Hpaan Universit
2574,Hrvatsko katolicko sveucilišt
2575,Hsing Wu Universit
2576,Hsiuping University of Science and Technolog
2577,Hsuan Chuang Universit
2578,Huachiew Chalermprakiet Universit
2579,Huafan Universit
2580,Huaibei Normal Universit
2581,Huaihai Institute of Technolog
2582,Huaihua Universit
2583,Huaiyin Normal Universit
2584,Huanggang Normal Universit
2585,Huanghe Jiaotong Universit
2586,Huangshan Universit
2587,Huaqiao Universit
2588,Hubei Business Colleg
2589,Hubei Engineering Universit
2590,Hubei Institute of Fine Art
2591,Hubei Normal Universit
2592,Hubei Polytechnic Universit
2593,Hubei University for Nationalitie
2594,Hubei University of Arts and Scienc
2595,Hubei University of Automotive Technolog
2596,Hubei University of Economic
2597,Hubei University of Educatio
2598,Hubei University of Medicin
2599,Hubei University of Science and Technolog
2600,Hubei University of Technolog
2601,Hubert Kairuki Memorial Universit
2602,Hudobná a umelecká akadémia Jána Albrecht
2603,Hult International Business Schoo
2604,Hulunbeier Universit
2605,Humanitarian Institute of Hrazda
2606,Humanitarian-Technical Academ
2607,Humboldt-Universität zu Berli
2608,Hunan Agricultural Universit
2609,Hunan Applied Technology Universit
2610,Hunan City Universit
2611,Hunan First Normal Universit
2612,Hunan Institute of Engineerin
2613,Hunan Institute of Science and Technolog
2614,Hunan Institute of Technolog
2615,Hunan Institute of Traffic Engineerin
2616,Hunan International Economics Universit
2617,Hunan University of Arts and Scienc
2618,Hunan University of Chinese Medicin
2619,Hunan University of Finance and Economic
2620,"Hunan University of Humanities, Science and Technolog"
2621,Hunan University of Science and Engineerin
2622,Hunan University of Science and Technolog
2623,Hunan University of Technolog
2624,Hunan Women's Universit
2625,Hung Vuong Universit
2626,Hungkuang Universit
2627,HungKuo Delin University of Technolog
2628,Huntingdon Colleg
2629,Huntington Universit
2630,Huree Universit
2631,Husson Universit
2632,Huston-Tillotson Universit
2633,HUTECH Universit
2634,Huzhou Universit
2635,Hwa Hsia University of Technolog
2636,Hyogo College of Medicin
2637,Hyogo University of Teacher Educatio
2638,I.M. Seçenov adina Birinci Moskva Dövlet Tibb Universitetinin Bak
2639,IBA Erhvervsakademi Koldin
2640,Ibanda Universit
2641,Ibaraki Christian Universit
2642,Ibaraki Prefectural University of Health Science
2643,Ibaraki Universit
2644,Ibb Universit
2645,Ibn Haldun Üniversites
2646,Ibn Sina College for Health Science
2647,Ibn Sina Universit
2648,Ibn Sina University of Medical and Pharmaceutical Science
2649,Ibri College of Technolog
2650,IBS Mednarodna poslovna šola Ljubljan
2651,Icahn School of Medicine at Mount Sina
2652,"ICFAI University, Jaipu"
2653,"ICFAI University, Jharkhan"
2654,"ICFAI University, Tripur"
2655,ICN Business Schoo
2656,Idaho State Universit
2657,Ider Universit
2658,IE Universit
2659,IEDC-Bled School of Managemen
2660,IÉSEG School of Managemen
2661,IFHE Hyderaba
2662,IFP Schoo
2663,Igdir Üniversites
2664,Ignatius Ajuru University of Educatio
2665,IIHMR Universit
2666,IIMT Universit
2667,Ilisimatusarfi
2668,Illinois State Universit
2669,Illinois Wesleyan Universit
2670,Ilma Universit
2671,Ilocos Sur Polytechnic State Colleg
2672,Imam Abdulrahman Bin Faisal Universit
2673,Imam Ja'afar Al-sadiq Universit
2674,Imam Malik College for Islamic Sharia and La
2675,Imam Sadiq Universit
2676,Immaculata Universit
2677,Imperial College Londo
2678,Imperial College of Business Studie
2679,IMT Atlantiqu
2680,IMT Mines Alb
2681,IMT Mines Alè
2682,"INCAE Business School, Costa Ric"
2683,"INCAE Business School, Nicaragu"
2684,Indian Agricultural Research Institut
2685,"Indian Institute of Engineering Science and Technology, Shibpu"
2686,Indian Institute of Information Technology and Management Gwalio
2687,"Indian Institute of Information Technology, Design and Manufacturin"
2688,Indian Institute of Space Science and Technolog
2689,Indian Institute of Technology Bhubaneswa
2690,Indian Institute of Technology Gandhinaga
2691,Indian Institute of Technology Hyderaba
2692,Indian Institute of Technology Indor
2693,Indian Institute of Technology Jodhpu
2694,Indian Institute of Technology Mand
2695,Indian Institute of Technology Patn
2696,Indian Institute of Technology Roorke
2697,Indian Institute of Technology Ropa
2698,"Indian Institute of Technology, BH"
2699,Indian Maritime Universit
2700,Indian River State Colleg
2701,Indiana Institute of Technolog
2702,Indiana State Universit
2703,Indiana University Eas
2704,Indiana University Fort Wayn
2705,Indiana University Northwes
2706,Indiana University of Pennsylvani
2707,Indiana University Southeas
2708,Indira Gandhi Institute of Development Researc
2709,Indira Gandhi Krishi Vishwavidyalay
2710,Indira Gandhi National Tribal Universit
2711,Indraprastha Institute of Information Technolog
2712,Indus International Universit
2713,Indus Valley School of Art and Architectur
2714,Informacijas sistemu menedžmenta augstskol
2715,Information and Communication Universit
2716,Information Technology Universit
2717,Inner Mongolia Arts Universit
2718,Inner Mongolia Medical Universit
2719,Inner Mongolia Nationality Colleg
2720,Inner Mongolia Normal Universit
2721,Inner Mongolia Universit
2722,Inner Mongolia University for the Nationalitie
2723,Inner Mongolia University of Finance and Economic
2724,Inner Mongolia University of Science and Technolog
2725,Inner Mongolia University of Technolog
2726,Innovative University of Eurasi
2727,Inönü Üniversites
2728,Institución Universitaria Antonio José Camach
2729,Institución Universitaria Bellas Artes y Ciencias de Bolíva
2730,Institución Universitaria Colegio Mayor del Cauc
2731,Institucion Universitaria Colegios de Colombi
2732,Institucion Universitaria Colombo American
2733,Institucion Universitaria de Colombia - Universitaria de Colombi
2734,Institucion Universitaria Ea
2735,Institución Universitaria ITS
2736,Institucion Universitaria Latin
2737,Institucion Universitaria Marco Fidel Suare
2738,Institucion Universitaria Salazar y Herrer
2739,Institut Catholique de Pari
2740,Institut Catholique de Toulous
2741,Institut Catholique de Yaound
2742,Institut de hautes études internationales et du développemen
2743,Institut de Technologies d’Owend
2744,Institut d'Enséignement Supérieur de Ruhenger
2745,Institut des Arts de Diffusio
2746,Institut d'Études Politiques de Pari
2747,Institut d'Optique Graduate Schoo
2748,Inštitut in akademija za multimedij
2749,Institut International de Managemen
2750,Institut International de Technologi
2751,Institut International du Commerce et du Développemen
2752,Institut International du Numérique et de l’Audiovisue
2753,Institut Jean-Paul I
2754,Institut National de la Jeunesse et des Sport
2755,Institut National de la Poste des Technologies de l'Information et de la Communicatio
2756,Institut National de Santé Publiqu
2757,Institut National des Langues et Civilisations Orientale
2758,Institut National des Sciences Appliquées Centre Val de Loir
2759,Institut National des Sciences Appliquées de Lyo
2760,Institut National des Sciences Appliquées de Roue
2761,Institut National des Sciences Appliquées de Strasbour
2762,Institut National des Sciences Appliquées de Toulous
2763,Institut National Polytechnique de Toulous
2764,Institut National Polytechnique Félix Houphouët-Boign
2765,Institut national supérieur des Arts du Spectacle et des Techniques de Diffusio
2766,Institut National Supérieur des Arts et de l'Action Culturell
2767,"Institut National supérieur des sciences agronomiques, de l'alimentation et de l'environnemen"
2768,Institut National Universitaire Champollio
2769,Institut Pertanian Bogo
2770,Institut Polytechnique des Sciences Avancée
2771,Institut Polytechnique Rural de Formation et de Recherches Appliquées de Katibougo
2772,Institut Privé de Formation et de Recherches Médicales de Daka
2773,Institut Seni Indonesia Denpasa
2774,Institut Seni Indonesia Yogyakart
2775,Institut Supérieur d'Agriculture et d'Agroalimentaire Rhône-Alpe
2776,Institut Superieur de Communication et de Gestio
2777,Institut Supérieur de Gestio
2778,Institut Supérieur de Gestion des Entreprise
2779,Institut Supérieur de l'Aéronautique et de l'Espac
2780,Institut Supérieur de l'Électronique et du Numériqu
2781,Institut Supérieur de Musique et de Pédagogi
2782,Institut Supérieur d'Électronique de Pari
2783,Institut Supérieur des Biotechnologies de Pari
2784,Institut Supérieur des Matériaux et Mécaniques Avancés du Man
2785,Institut Supérieur des Métiers de l’Audiovisue
2786,Institut Supérieur des Nouvelles Technologies de Commerce de Bâtiment et de Sant
2787,Institut Supérieur d'Etudes et de Recherche Islamique
2788,Institut Supérieur du Bâtiment et des Travaux Public
2789,Institut Supérieur du Génie Appliqu
2790,Institut Supérieur Privé d’Administrationdes Entreprise
2791,Institut Supérieur Privé des Sciences de la Santé de Souss
2792,Institut Supérieur Privé des Sciences Infirmières de Kairoua
2793,Institut Supérieur Privé des Sciences Infirmières de Souss
2794,Institut Supérieur Privé des Sciences Infirmières El Ame
2795,"Institut Supérieur Privé des Sciences, de la Technologie et des Affaires du Centr"
2796,Institut Teknologi Bandun
2797,Institut Teknologi Nasiona
2798,Institut Teknologi Nasional Malan
2799,Institut Teknologi Sepuluh Nopembe
2800,Institute for Social Development and Entrepreneurshi
2801,Institute for Training of Advanced Teacher
2802,Institute of Advanced Media Arts and Science
2803,Institute of Advanced Studies in Educatio
2804,Institute of Business Administratio
2805,Institute of Chemical Technolog
2806,Institute of Economics and Financ
2807,Institute of Engineering and Technolog
2808,Institute of Information Securit
2809,Institute of International Business Educatio
2810,Institute of International Relation
2811,Institute of Legal Practice and Developmen
2812,Institute of Management and Entrepreneurshi
2813,Institute of Management Science
2814,Institute of Management Technology Duba
2815,Institute of Modern Information Technologies in Educatio
2816,Institute of Modern Knowledg
2817,Institute of Parliamentarism and Private Enterpris
2818,"Institute of Public Administration, Saudi Arabi"
2819,Institute of Railway
2820,Institute of Southern Punja
2821,Institute of Technologist
2822,Institute of Technology Carlo
2823,Institute of Technology Slig
2824,"Institute of Technology, Trale"
2825,Institute Superior Crista
2826,Instituto Caro y Cuerv
2827,Instituto de Altos Estudios Nacionale
2828,Instituto de Ciencia Anima
2829,Instituto de Educación Superior en Formación Diplomatica y Consula
2830,Instituto de Enseñanza Superior del Ejércit
2831,Instituto de Especialización para Ejecutivo
2832,Instituto de Estudios Superiores de Chiapas S.C
2833,Instituto de Estudios Superiores de Tamaulipas A.C
2834,Instituto de Estudios Superiores del Bají
2835,Instituto de Estudios Universitarios A.C
2836,Instituto de Estudos Superiores de Faf
2837,Instituto de Formação Turístic
2838,Instituto Dominicano de Tecnologí
2839,Instituto Especializado de Educación Superior de Profesionales de la Salud de El Salvado
2840,Instituto Especializado de Educación Superior El Espíritu Sant
2841,Instituto Especializado de Educación Superior para la Formación Diplomátic
2842,Instituto Especializado de Estudios Superires de Derecho Empresaria
2843,Instituto Especializado de Investigación y Formación en Ciencias Jurídica
2844,Instituto Global de Altos Estudios en Ciencias Sociale
2845,Instituto Nacional de Ciencias Agrícola
2846,Instituto Nacional de Estudios Fiscale
2847,Instituto para el Desarrollo Empresarial de la Argentin
2848,Instituto Piage
2849,Instituto Politécnico da Lusofoni
2850,Instituto Politécnico de Bej
2851,Instituto Politécnico de Braganç
2852,Instituto Politécnico de Castelo Branc
2853,Instituto Politécnico de Coimbr
2854,Instituto Politécnico de Gestão e Tecnologi
2855,Instituto Politécnico de Leiri
2856,Instituto Politécnico de Lisbo
2857,Instituto Politécnico de Maca
2858,Instituto Politécnico de Portalegr
2859,Instituto Politécnico de Santaré
2860,Instituto Politécnico de Setúba
2861,Instituto Politécnico de Viana do Castel
2862,Instituto Politécnico do Cávado e do Av
2863,Instituto Politécnico do Port
2864,Instituto Politécnico Naciona
2865,Instituto Português de Administração de Marketin
2866,Instituto Superior D. Dini
2867,Instituto Superior de Administração e Gestã
2868,Instituto Superior de Administração e Língua
2869,Instituto Superior de Ciências da Informação e da Administraçã
2870,Instituto Superior de Ciências Educativa
2871,Instituto Superior de Ciências Educativas do Dour
2872,Instituto Superior de Ciências Empresariais e do Turism
2873,Instituto Superior de Ciências Jurídicas e Sociai
2874,Instituto Superior de Diseño Industria
2875,Instituto Superior de Economia y Administración de Empresa
2876,Instituto Superior de Educação e Ciência
2877,Instituto Superior de Entre Douro e Voug
2878,Instituto Superior de Formación Docente Salomé Ureñ
2879,Instituto Superior de Gestã
2880,Instituto Superior de Línguas e Administração de Leiri
2881,Instituto Superior de Novas Profissõe
2882,Instituto Superior de Paços de Brandã
2883,Instituto Superior de Relaciones Internacionales Raúl Roa Garcí
2884,Instituto Superior de Saúde do Alto Av
2885,Instituto Superior de Tecnología Universa
2886,Instituto Superior de Tecnologias Avançadas de Lisbo
2887,Instituto Superior de Tecnologías y Ciencias Aplicada
2888,Instituto Superior Manuel Teixeira Gome
2889,Instituto Superior Miguel Torg
2890,Instituto Superior Pedro Francisco Bon
2891,Instituto Superior Politécnico do Oest
2892,Instituto Superior Politécnico Gay
2893,Instituto Técnico Superior Comunitari
2894,Instituto Técnico Superior Mercy Jácque
2895,Instituto Tecnológico Autonómo de Méxic
2896,Instituto Tecnológico de Acapulc
2897,Instituto Tecnológico de Agua Priet
2898,Instituto Tecnológico de Aguascaliente
2899,Instituto Tecnológico de Altamir
2900,Instituto Tecnológico de Altiplano de Tlaxcal
2901,Instituto Tecnológico de Álvaro Obregó
2902,Instituto Tecnológico de Apizac
2903,Instituto Tecnológico de Atitalaqui
2904,Instituto Tecnológico de Bahía de Bandera
2905,Instituto Tecnológico de Boca del Rí
2906,Instituto Tecnológico de Buenos Aire
2907,Instituto Tecnológico de Campech
2908,Instituto Tecnológico de Cancú
2909,Instituto Tecnológico de Celay
2910,Instituto Tecnológico de Cerro Azu
2911,Instituto Tecnológico de Chetuma
2912,Instituto Tecnológico de Chihuahua I
2913,Instituto Tecnológico de Chilpancing
2914,Instituto Tecnológico de Chin
2915,Instituto Tecnológico de Ciudad Altamiran
2916,Instituto Tecnológico de Ciudad Guzmá
2917,Instituto Tecnológico de Ciudad Jiméne
2918,Instituto Tecnológico de Ciudad Juáre
2919,Instituto Tecnológico de Ciudad Mader
2920,Instituto Tecnológico de Ciudad Valle
2921,Instituto Tecnológico de Ciudad Victori
2922,Instituto Tecnológico de Colim
2923,Instituto Tecnológico de Comitá
2924,Instituto Tecnológico de Comitancill
2925,Instituto Tecnológico de Conka
2926,Instituto Tecnológico de Cuautl
2927,Instituto Tecnológico de Delicia
2928,Instituto Tecnológico de Durang
2929,Instituto Tecnológico de El Llano Aguascaliente
2930,Instituto Tecnológico de El Salt
2931,Instituto Tecnológico de Ensenad
2932,Instituto Tecnológico de Frontera Comalap
2933,Instituto Tecnológico de Guayma
2934,Instituto Tecnológico de Gustavo A. Mader
2935,Instituto Tecnológico de Gustavo A. Madero I
2936,Instituto Tecnológico de Hermosill
2937,Instituto Tecnológico de Huatabamp
2938,Instituto Tecnológico de Huejutl
2939,Instituto Tecnológico de Huimanguill
2940,Instituto Tecnológico de Iztapalap
2941,Instituto Tecnológico de Iztapalapa I
2942,Instituto Tecnológico de Iztapalapa II
2943,Instituto Tecnológico de la Costa Grand
2944,Instituto Tecnológico de Leó
2945,Instituto Tecnológico de Lerm
2946,Instituto Tecnológico de Linare
2947,Instituto Tecnológico de Los Mochi
2948,Instituto Tecnológico de Matamoro
2949,Instituto Tecnológico de Matehual
2950,Instituto Tecnológico de Mazatlá
2951,Instituto Tecnológico de Mérid
2952,Instituto Tecnológico de Mexical
2953,Instituto Tecnológico de Milpa Alt
2954,Instituto Tecnológico de Milpa Alta I
2955,Instituto Tecnológico de Minatitlá
2956,Instituto Tecnológico de Nogale
2957,Instituto Tecnológico de Nuevo Lared
2958,Instituto Tecnológico de Nuevo Leó
2959,Instituto Tecnológico de Oaxac
2960,Instituto Tecnológico de Ocotlá
2961,Instituto Tecnológico de Orizab
2962,Instituto Tecnológico de Pachuc
2963,Instituto Tecnológico de Parra
2964,Instituto Tecnológico de Piedras Negra
2965,Instituto Tecnológico de Pochutl
2966,Instituto Tecnológico de Puebl
2967,Instituto Tecnológico de Querétar
2968,Instituto Tecnológico de Reynos
2969,Instituto Tecnológico de Roqu
2970,Instituto Tecnológico de Salina Cru
2971,Instituto Tecnológico de Saltill
2972,Instituto Tecnológico de San Juan del Rí
2973,Instituto Tecnológico de San Luís Potos
2974,Instituto Tecnológico de San Marco
2975,Instituto Tecnológico de Santo Doming
2976,Instituto Tecnológico de Sinaloa de Leyv
2977,Instituto Tecnológico de Tapachul
2978,Instituto Tecnológico de Tecomatlá
2979,Instituto Tecnológico de Tepi
2980,Instituto Tecnológico de Tijuan
2981,Instituto Tecnológico de Tizimí
2982,Instituto Tecnológico de Tláhua
2983,Instituto Tecnológico de Tláhuac I
2984,Instituto Tecnológico de Tláhuac II
2985,Instituto Tecnológico de Tlajomulc
2986,Instituto Tecnológico de Tlalnepantl
2987,Instituto Tecnológico de Tlalpa
2988,Instituto Tecnológico de Tlaxiac
2989,Instituto Tecnológico de Toluc
2990,Instituto Tecnológico de Torreó
2991,Instituto Tecnológico de Tuxtepe
2992,Instituto Tecnológico de Úrsulo Galvá
2993,Instituto Tecnológico de Veracru
2994,Instituto Tecnológico de Villahermos
2995,Instituto Tecnológico de Zacateca
2996,Instituto Tecnológico de Zacatepe
2997,Instituto Tecnológico del Norte de Nayari
2998,Instituto Tecnológico del Sur de Nayari
2999,Instituto Tecnológico del Valle de Etl
3000,Instituto Tecnológico del Valle de Oaxac
3001,Instituto Tecnológico del Valle del Guadian
3002,Instituto Tecnológico del Valle del Yaqu
3003,Instituto Tecnológico José Mario Molina Pasquel y Henríque
3004,Instituto Tecnológico Metropolitan
3005,Instituto Tecnológico Pascual Brav
3006,Instituto Tecnológico y de Estudios Superiores de Occidente A.C
3007,Instituto Universitario Aeronáutic
3008,Instituto Universitario CEMI
3009,Instituto Universitario de Ciencias Biomédicas de Córdob
3010,Instituto Universitário de Ciências da Saúd
3011,Instituto Universitario de Ciencias de la Salu
3012,"Instituto Universitário de Ciências Psicológicas, Sociais e da Vid"
3013,Instituto Universitario de La Pa
3014,Instituto Universitario de Salud Menta
3015,Instituto Universitario Escuela Argentina de Negocio
3016,Instituto Universitario ESEAD
3017,Instituto Universitario Italiano de Rosari
3018,Instituto Universitario Nacional de Derechos Humanos Madres de Plaza de May
3019,Instituto Universitario Patagónico de las Arte
3020,Instituto Universitario River Plat
3021,Instituts Saint-Luc Bruxelle
3022,Instituts Supérieurs des Etudes Technologique
3023,Institutul de Administrare a Afacerilor din Bucurest
3024,Instituut voor Tropische Geneeskund
3025,Integral Universit
3026,Intercolleg
3027,Internacionalni univerzitet Travni
3028,Internacionalni Univerzitet u Novom Pazar
3029,Internacionalni univerzitet u Sarajev
3030,Internacionalnog univerziteta u Goražd
3031,InterNapa Colleg
3032,"International Academy of Management, Law, Finance and Busines"
3033,International Balkan Universit
3034,International Banking Institut
3035,International Black Sea Universit
3036,International Budo Universit
3037,International BURCH Universit
3038,International Business Schoo
3039,"International Business, Science and Technology Universit"
3040,International Christian Universit
3041,International College for Postgraduate Buddhist Studie
3042,International Hellenic Universit
3043,International Humanitarian Technical Universit
3044,International Humanitarian Universit
3045,International Humanities and Economics Institut
3046,International Independent Ecological-Political Universit
3047,International Institute for Higher Education in Morocc
3048,International Institute of Information Technology Bangalor
3049,"International Institute of Information Technology, Bhubaneswa"
3050,"International Institute of Information Technology, Hyderaba"
3051,"International Institute of Information Technology, Naya Raipu"
3052,"International Islamic University, Chittagon"
3053,"International Islamic University, Islamaba"
3054,International IT Universit
3055,"International Leadership University, Burund"
3056,International Medical and Technological Universit
3057,International Medical Universit
3058,International Oil and Gas Universit
3059,International Pacific Universit
3060,International Psychoanalytic Universit
3061,International School of Busines
3062,International School of Managemen
3063,International Science and Technology Universit
3064,International Slavic University G. R. Derzhavi
3065,International Technological University Mykolaiv Polytechni
3066,International University for Graduate Studie
3067,International University of Afric
3068,International University of Business Agriculture and Technolog
3069,International University of Central Asi
3070,"International University of Equator, Burund"
3071,International University of Erbi
3072,"International University of Fundamental Studies, St. Petersbur"
3073,International University of Health and Welfar
3074,International University of Japa
3075,International University of Monac
3076,International University of Science and Technolog
3077,International University of Ulaanbaata
3078,"International University, Bamend"
3079,Internationale Akademie für Philosophi
3080,INTI International Universit
3081,Invertis Universit
3082,Ionian Universit
3083,Iowa State Universit
3084,Iowa Wesleyan Universit
3085,IPAG Business Schoo
3086,Iqra National Universit
3087,Iran University of Industries and Mine
3088,Iran University of Science and Technolog
3089,Irell and Manella Graduate School of Biological Science
3090,Irkutsk National Research Technical Universit
3091,Irkutsk State Universit
3092,Iryo Sosei Universit
3093,"ISA, Universidad de las Arte"
3094,Isabela State Universit
3095,ISBM Universit
3096,ISC Paris Business Schoo
3097,Iselinge Hogeschoo
3098,Isfahan University of Medical Science
3099,Isfahan University of Technolog
3100,Ishikawa Prefectural Nursing Universit
3101,Ishikawa Prefectural Universit
3102,Ishinomaki Senshu Universit
3103,I-Shou Universit
3104,Isik Üniversites
3105,Iskenderun Teknik Üniversites
3106,Islamia College Peshawa
3107,Islamic Arabic Universit
3108,Islamic Azad University of Roudehe
3109,Islamic Azad University U.A.E. Branc
3110,"Islamic Azad University, Aha"
3111,"Islamic Azad University, Ahva"
3112,"Islamic Azad University, Aligudar"
3113,"Islamic Azad University, Ardabi"
3114,"Islamic Azad University, Ayatollah Amol"
3115,"Islamic Azad University, Azadshah"
3116,"Islamic Azad University, Bandar Ga"
3117,"Islamic Azad University, Bandar-e Anzal"
3118,"Islamic Azad University, Behbaha"
3119,"Islamic Azad University, Behshah"
3120,"Islamic Azad University, Birjan"
3121,"Islamic Azad University, Buin-Zahr"
3122,"Islamic Azad University, Damgha"
3123,"Islamic Azad University, Dehagha"
3124,"Islamic Azad University, Dehlora"
3125,"Islamic Azad University, Dezfu"
3126,"Islamic Azad University, East Tehra"
3127,"Islamic Azad University, Esfaraye"
3128,"Islamic Azad University, Hashtroo"
3129,"Islamic Azad University, Ize"
3130,"Islamic Azad University, Omidiye"
3131,"Islamic Azad University, Osk"
3132,"Islamic Azad University, Parsabad Mogha"
3133,"Islamic Azad University, Ramhormo"
3134,"Islamic Azad University, Sar"
3135,"Islamic Azad University, Semna"
3136,"Islamic Azad University, Shahr-e-Qod"
3137,"Islamic Azad University, Shoushta"
3138,"Islamic Azad University, South Tehra"
3139,"Islamic Azad University, Tabri"
3140,"Islamic Azad University, Tehran Medica"
3141,Islamic Azad University-Sarab Branc
3142,Islamic Institute of Tajikista
3143,Islamic Universit
3144,"Islamic University College, Ghan"
3145,Islamic University of Mohamed Bin Ali Al Sanuss
3146,Islamic University of Science and Technolog
3147,Isra Universit
3148,Isra Universit
3149,Israa Universit
3150,Issyk-Kul Institute of Cooperation named after Alyshbaev
3151,Istanbul 29 Mayis Üniversites
3152,Istanbul Arel Üniversites
3153,Istanbul Aydin Üniversites
3154,Istanbul Ayvansaray Üniversites
3155,Istanbul Bilgi Üniversites
3156,Istanbul Esenyurt Üniversites
3157,Istanbul Gedik Üniversites
3158,Istanbul Gelisim Üniversites
3159,Istanbul Kent Üniversites
3160,Istanbul Medeniyet Üniversites
3161,Istanbul Rumeli Üniversites
3162,Istanbul Sabahattin Zaim Üniversites
3163,Istanbul Sehir Üniversites
3164,Istanbul Teknik Üniversites
3165,Istanbul Ticaret Üniversites
3166,Istanbul Üniversites
3167,Istanbul Yeni Yüzyil Üniversites
3168,Istarsko veleucilišt
3169,IST-Hochschule für Managemen
3170,Istinye Üniversites
3171,Istituto Universitario di Studi Superior
3172,Itä-Suomen yliopist
3173,ITECH Institut Textile et Chimique de Lyo
3174,ITMO Universit
3175,IT-Universitetet i Københav
3176,IUBH School of Business and Managemen
3177,Ivan Franko National University of Lvi
3178,Ivane Javakhishvili Tbilisi State Universit
3179,Ivano-Frankivsk National Medical Universit
3180,Ivano-Frankivsk National Technical University of Oil and Ga
3181,Ivanovo State Medical Academ
3182,Ivanovo State Power Universit
3183,Ivanovo State Universit
3184,Ivanovo State University of Chemistry and Technolog
3185,Iwate Medical Universit
3186,Iwate Prefectural Universit
3187,Izmail State University of Humanitie
3188,Izmir Demokrasi Üniversites
3189,Izmir Ekonomi Üniversites
3190,Izmir Kâtip Çelebi Üniversites
3191,Izmir Yüksek Teknoloji Enstitüs
3192,Jaamacada Burc
3193,Jaamacada Eel
3194,Jaamacada Goli
3195,Jaamacada Hargeys
3196,Jaamacada Hiiraa
3197,Jaamacada Jazeer
3198,Jaamacada Koonfur Galbeed Soomaaliy
3199,Jaamacada Nugaa
3200,Jaamacada Plasm
3201,Jaamacadda Culuumta Cafimadk
3202,Jaamacadda Hormuu
3203,Jaamacadda Jobke
3204,Jaamacadda Juba ee Cilmiga iyo Tiknolojiyad
3205,Jaamacadda Muqdish
3206,Jaamacadda Salaa
3207,Jaamacadda Sayniska iyo Teknolojiyada Sanaa
3208,Jaamacadda SIMA
3209,Jaamacadda Soomaaliy
3210,Jaamacadda Zamzam ee Culuumta iyo Tiknolojiyadd
3211,Jabir Ibn Hayyan Medical Universit
3212,Jackson State Universit
3213,Jacksonville State Universit
3214,Jacobs University Breme
3215,Jade Hochschul
3216,Jagadguru Ramanandacharya Rajasthan Sanskrit Universit
3217,Jagannath Universit
3218,Jahan E Noor Institute of Higher Educatio
3219,Jahan Universit
3220,Jahangirnagar Universit
3221,Jahon Iqtisodiyoti va Diplomatiya Universitet
3222,Jai Narain Vyas Universit
3223,Jai Prakash Vishwavidyalay
3224,Jain Universit
3225,Jain Vishva Bharati Institut
3226,Jaipur National Universit
3227,Jalal-Abad Oblast of Humanities and Education Universit
3228,Jalalabad State Universit
3229,Jam Music Lab Private Universit
3230,James Madison Universit
3231,Jamestown Business Colleg
3232,Jami Institute of Technolog
3233,Jamia Hamdar
3234,Jamia Millia Islami
3235,Jananayak Chandrashekhar Universit
